year,type,value
1951,others,0
1952,animals,172.38805970149252
1952,farmers,38.656716417910445
1952,fertilizers,22.723880597014897
1952,fuels,18.022388059701484
1952,others,0
1953,animals,167.16417910447763
1953,farmers,35.69651741293529
1953,fertilizers,26.902985074626855
1953,fuels,23.594527363184056
1953,others,0
1954,animals,161.63557213930346
1954,farmers,31.51741293532338
1954,fertilizers,30.037313432835816
1954,fuels,25.727611940298488
1954,others,1.828358208955251
1955,animals,155.14925373134326
1955,farmers,30.82089552238807
1955,fertilizers,31.86567164179104
1955,fuels,30.820895522388014
1955,others,2.6119402985075055
1956,animals,152.5373134328358
1956,farmers,28.731343283582078
1956,fertilizers,35.522388059701484
1956,fuels,32.38805970149255
1956,others,3.1343283582089896
1957,animals,146.52985074626864
1957,farmers,27.94776119402985
1957,fertilizers,36.044776119403
1957,fuels,37.61194029850742
1957,others,3.656716417910445
1958,animals,139.99999999999994
1958,farmers,26.902985074626883
1958,fertilizers,37.87313432835822
1958,fuels,41.529850746268664
1958,others,4.962686567164184
1959,animals,129.20398009950247
1959,farmers,26.902985074626883
1959,fertilizers,36.56716417910445
1959,fuels,48.146766169154205
1959,others,9.75124378109453
1960,animals,109.17910447761193
1960,farmers,25.858208955223887
1960,fertilizers,38.91791044776119
1960,fuels,57.593283582089526
1960,others,12.537313432835845
1961,animals,90.8084577114428
1961,farmers,24.37810945273632
1961,fertilizers,43.55410447761193
1961,fuels,61.445895522388
1961,others,10.708955223880622
1962,animals,74.78855721393033
1962,farmers,24.029850746268664
1962,fertilizers,49.835820895522374
1962,fuels,61.3457711442786
1962,others,10.970149253731392
1963,animals,57.7238805970149
1963,farmers,23.24626865671644
1963,fertilizers,59.90049751243782
1963,fuels,69.12935323383081
1963,others,8.8805970149254
1964,animals,48.756218905472664
1964,farmers,21.766169154228844
1964,fertilizers,66.51741293532339
1964,fuels,73.48258706467658
1964,others,10.708955223880594
1965,animals,39.353233830845774
1965,farmers,21.417910447761187
1965,fertilizers,69.21641791044775
1965,fuels,77.4004975124378
1965,others,12.537313432835816
1966,animals,34.2164179104478
1966,farmers,20.895522388059703
1966,fertilizers,75.74626865671638
1966,fuels,81.49253731343279
1966,others,13.582089552238813
1967,animals,29.514925373134332
1967,farmers,19.32835820895525
1967,fertilizers,81.49253731343282
1967,fuels,87.49999999999997
1967,others,16.716417910447745
1968,animals,22.288557213930382
1968,farmers,18.80597014925371
1968,fertilizers,89.24129353233829
1968,fuels,95.50995024875621
1968,others,17.06467661691542
1969,animals,19.589552238805993
